X=6
2 3 5 11 29	 ( 78 81 84 86 88 96 99 )
2 3 5 11 31	 ( 82 85 88 90 91 92 94 )
2 3 5 11 37	 ( 68 71 94 97 100 )
2 3 5 13 37	 ( 64 72 75 88 96 98 99 )
2 3 5 17 29	 ( 72 74 76 84 86 88 96 98 99 100 )
2 3 5 17 31	 ( 76 78 80 88 90 91 92 94 )
2 3 5 17 37	 ( 68 70 72 88 90 92 100 )
2 3 5 17 41	 ( 72 74 76 96 98 100 )
2 3 5 17 43	 ( 74 76 78 100 )
2 3 5 17 53	 ( 48 50 52 84 86 88 96 98 99 100 )
2 3 5 17 59	 ( 48 50 52 60 90 92 94 )
2 3 5 17 61	 ( 48 50 52 60 62 92 94 96 )
2 3 5 19 29	 ( 72 74 75 76 78 86 88 96 98 99 100 )
2 3 5 19 31	 ( 76 78 79 80 82 90 92 94 )
2 3 5 19 37	 ( 70 72 73 88 90 91 92 94 )
2 3 5 19 41	 ( 74 76 77 78 80 96 98 99 100 )
2 3 5 19 43	 ( 76 78 79 80 82 100 )
2 3 5 19 47	 ( 80 82 83 84 86 )
2 3 5 19 53	 ( 52 54 86 88 89 90 92 100 )
2 3 5 19 59	 ( 52 54 55 56 58 92 94 95 96 98 )
2 3 5 19 61	 ( 52 54 55 56 58 94 96 97 98 100 )
2 3 5 19 67	 ( 52 54 55 56 58 66 68 100 )
2 3 5 19 71	 ( 52 54 55 56 58 66 68 69 70 72 )
2 3 7 11 37	 ( 67 71 75 93 97 100 )
2 3 7 11 41	 ( 71 75 78 79 80 83 )
2 3 7 13 29	 ( 79 82 83 88 95 98 99 )
2 3 7 13 31	 ( 83 86 87 92 94 )
2 3 7 13 37	 ( 71 75 95 98 99 )
2 3 7 13 41	 ( 75 78 79 )
2 3 7 13 43	 ( 77 80 81 87 )
2 3 7 13 47	 ( 81 84 85 90 91 92 95 )
2 3 7 17 29	 ( 73 76 83 86 88 95 98 99 100 )
2 3 7 17 37	 ( 69 72 89 92 99 )
2 3 7 17 41	 ( 73 76 83 97 100 )
2 3 7 17 43	 ( 75 78 85 )
2 3 7 17 47	 ( 79 82 89 92 93 )
2 3 7 17 53	 ( 49 52 85 88 95 98 99 100 )
2 3 7 17 59	 ( 49 52 91 94 )
2 3 7 17 61	 ( 49 52 59 62 93 96 )
2 3 7 19 29	 ( 73 76 78 85 88 95 98 99 100 )
2 3 7 19 31	 ( 77 80 82 89 92 94 )
2 3 7 19 37	 ( 71 89 92 94 )
2 3 7 19 41	 ( 75 78 80 97 100 )
2 3 7 19 43	 ( 77 80 82 )
2 3 7 19 47	 ( 81 84 86 93 )
2 3 7 19 53	 ( 87 90 92 99 )
2 3 7 19 59	 ( 53 56 58 93 96 98 )
2 3 7 19 61	 ( 53 56 58 95 98 100 )
2 3 7 19 67	 ( 53 56 58 65 68 )
2 3 7 23 41	 ( 63 79 83 97 100 )
2 3 7 23 43	 ( 65 81 84 85 )
2 3 7 23 59	 ( 45 81 97 100 )
2 3 7 23 61	 ( 45 83 99 )
2 3 7 29 41	 ( 63 66 67 68 71 97 100 )
2 3 7 29 43	 ( 65 68 69 70 73 87 )
2 3 7 29 47	 ( 69 72 73 74 77 91 95 )
2 3 7 29 53	 ( 51 54 75 78 79 80 83 97 100 )
2 3 7 29 59	 ( 51 54 55 56 81 84 85 86 89 )
2 3 7 29 61	 ( 51 54 55 56 59 83 86 87 88 91 )
2 3 7 29 67	 ( 51 54 55 56 59 89 92 93 94 97 )
2 3 7 29 71	 ( 51 54 55 56 59 93 96 97 98 )
2 3 7 29 73	 ( 51 54 55 56 59 95 98 99 100 )
2 3 11 17 37	 ( 64 66 72 84 86 92 98 99 100 )
2 3 11 17 41	 ( 68 70 76 83 92 94 100 )
2 3 11 17 59	 ( 44 46 52 58 60 86 88 94 100 )
2 3 11 17 61	 ( 44 46 52 58 59 60 88 90 96 )
2 3 11 19 37	 ( 66 68 84 86 92 94 100 )
2 3 11 19 41	 ( 70 72 78 80 92 94 100 )
2 3 11 19 43	 ( 72 74 80 82 96 98 )
2 3 11 19 53	 ( 48 50 82 84 90 92 98 99 100 )
2 3 11 19 59	 ( 48 50 56 58 88 90 96 98 )
2 3 11 19 61	 ( 48 50 56 58 90 92 98 100 )
2 3 11 19 67	 ( 48 50 56 58 64 65 66 96 98 )
2 3 11 23 41	 ( 62 74 76 83 92 94 100 )
2 3 11 23 59	 ( 44 56 58 80 92 94 100 )
2 3 11 23 61	 ( 44 56 58 82 94 96 )
2 3 11 23 67	 ( 44 56 58 64 65 66 88 100 )
2 3 11 29 41	 ( 62 64 71 80 92 94 100 )
2 3 11 29 43	 ( 64 66 73 82 84 96 98 )
2 3 11 29 47	 ( 68 70 77 86 88 95 )
2 3 11 29 53	 ( 50 52 74 76 83 92 94 100 )
2 3 11 29 59	 ( 50 52 80 82 89 98 100 )
2 3 11 29 61	 ( 50 52 59 82 84 91 100 )
2 3 11 29 67	 ( 50 52 59 68 88 90 97 )
2 3 11 29 71	 ( 50 52 59 68 70 92 94 )
2 3 11 29 73	 ( 50 52 59 68 70 94 96 )
2 3 11 29 79	 ( 50 52 59 68 70 76 77 78 100 )
2 3 11 41 71	 ( 32 34 40 42 62 64 70 72 92 94 100 )
2 3 11 41 73	 ( 32 34 40 42 62 64 70 71 72 94 96 )
2 3 11 43 71	 ( 32 34 40 41 42 64 66 72 92 94 100 )
2 3 11 43 73	 ( 32 34 40 41 42 64 66 72 74 94 96 )
